COR4,COR7,COR8,PartyID7,GENDER,AGE7,RACETHNICITY,EDUC5,EMPLOY,INCOME9,STATE,METRO,TOTDEATH,CCVI,protection,VAX3
Not very severe,"1,001 to 10,000","No, they do not contain live coronavirus",Lean Democrat,Male,45-54,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$50,000 to under",SC,Non-Metro Area,"1 to 10,000",high,1-2 weeks after 2nd dose,Yes
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Don't Lean/Independent/None,Female,35-44,"White, non-Hispanic",Post grad study/professional degree,Working - as a paid employee,"$75,000 to under",VA,Metro Area,"1 to 10,000",moderate,1-2 weeks after 2nd dose,Yes
Somewhat severe,"25,001 to 50,000","No, they do not contain live coronavirus",Not So Strong Republican,Female,65-74,"White, non-Hispanic",Post grad study/professional degree,Not working - retired,"$100,000 to unde",CA,Metro Area,"More than 50,000",very high,1-2 weeks after 2nd dose,Yes
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Strong Democrat,Female,65-74,"White, non-Hispanic",Bachelors degree,Not working - retired,"$100,000 to unde",CA,Metro Area,"More than 50,000",very high,1-2 weeks after 2nd dose,Yes
Somewhat severe,"10,001 to 25,000","No, they do not contain live coronavirus",Lean Democrat,Male,75+,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$40,000 to under",MI,Non-Metro Area,"10,001 to 20,000",high,1-2 weeks after 2nd dose,No
Somewhat severe,"25,001 to 50,000","No, they do not contain live coronavirus",Strong Republican,Male,45-54,"Asian, non-Hispanic",Post grad study/professional degree,Working - as a paid employee,"$100,000 to unde",CA,Metro Area,"More than 50,000",very high,Immediately after 2nd dose,No
Somewhat severe,"1 to 1,000","Yes, they contain live coronavirus",Strong Republican,Male,25-34,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$75,000 to under",GA,Non-Metro Area,"10,001 to 20,000",very high,Don't know/Unsure,No
Somewhat severe,"More than 50,000","No, they do not contain live coronavirus",Not So Strong Democrat,Female,35-44,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - other,"$75,000 to under",CT,Metro Area,"1 to 10,000",very low,1-2 weeks after 2nd dose,Yes
Somewhat severe,"1,001 to 10,000","No, they do not contain live coronavirus",Not So Strong Republican,Female,35-44,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$40,000 to under",KS,Non-Metro Area,"1 to 10,000",moderate,Immediately after 1st dose,No
Somewhat severe,"25,001 to 50,000",Don't know/Unsure,Lean Democrat,Female,35-44,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$50,000 to under",OR,Non-Metro Area,"1 to 10,000",moderate,Immediately after 1st dose,No
Somewhat severe,"More than 50,000","No, they do not contain live coronavirus",Strong Democrat,Female,65-74,"White, non-Hispanic",Post grad study/professional degree,Not working - retired,"$75,000 to under",MA,Metro Area,"10,001 to 20,000",low,1-2 weeks after 2nd dose,Yes
Not very severe,"10,001 to 25,000","No, they do not contain live coronavirus",Strong Republican,Female,75+,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$30,000 to under",OK,Non-Metro Area,"1 to 10,000",very high,1-2 weeks after 2nd dose,Yes
Not very severe,"10,001 to 25,000",Don't know/Unsure,Not So Strong Democrat,Female,35-44,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$50,000 to under",NE,Metro Area,"1 to 10,000",very low,1-2 weeks after 2nd dose,Yes
Not very severe,"More than 50,000",Don't know/Unsure,Lean Democrat,Male,65-74,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$75,000 to under",WA,Metro Area,"1 to 10,000",moderate,Don't know/Unsure,Yes
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Lean Republican,Female,55-64,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$100,000 to unde",AZ,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 2nd dose,Yes
Not very severe,"25,001 to 50,000",Don't know/Unsure,Lean Democrat,Male,55-64,"White, non-Hispanic",Post grad study/professional degree,Not working - retired,"$150,000 or more",LA,Metro Area,"1 to 10,000",high,1-2 weeks after 2nd dose,Yes
Not very severe,"1,001 to 10,000","No, they do not contain live coronavirus",Lean Democrat,Female,35-44,"Asian, non-Hispanic",Post grad study/professional degree,Working - as a paid employee,"$150,000 or more",NY,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 2nd dose,Yes
Not very severe,"1 to 1,000",Don't know/Unsure,Not So Strong Democrat,Female,45-54,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$50,000 to under",FL,Metro Area,"30,001 to 40,000",very high,Don't know/Unsure,Yes
Not very severe,"10,001 to 25,000","Yes, they contain live coronavirus",Strong Democrat,Male,75+,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$50,000 to under",NV,Metro Area,"1 to 10,000",high,1-2 weeks after 2nd dose,Yes
Somewhat severe,"More than 50,000","No, they do not contain live coronavirus",Not So Strong Republican,Female,35-44,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$50,000 to under",MN,Non-Metro Area,"1 to 10,000",low,1-2 weeks after 2nd dose,No
Not at all severe,"1,001 to 10,000","No, they do not contain live coronavirus",Don't Lean/Independent/None,Male,25-34,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$100,000 to unde",NC,Non-Metro Area,"10,001 to 20,000",very high,1-2 weeks after 1st dose,No
Not at all severe,"1,001 to 10,000","No, they do not contain live coronavirus",Lean Democrat,Male,75+,"White, non-Hispanic",Post grad study/professional degree,Not working - retired,"$100,000 to unde",WV,Non-Metro Area,"1 to 10,000",very low,1-2 weeks after 2nd dose,Yes
Not very severe,"10,001 to 25,000","No, they do not contain live coronavirus",Not So Strong Republican,Male,55-64,"White, non-Hispanic",HS graduate,Working - as a paid employee,"$75,000 to under",OR,Metro Area,"1 to 10,000",moderate,1-2 weeks after 2nd dose,Yes
Somewhat severe,"10,001 to 25,000","Yes, they contain live coronavirus",Strong Democrat,Male,35-44,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - disabled,"Under $10,000",KY,Non-Metro Area,"1 to 10,000",high,Immediately after 2nd dose,No
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Strong Democrat,Male,75+,"White, non-Hispanic",Post grad study/professional degree,Working - self-employed,"$150,000 or more",DE,Metro Area,"1 to 10,000",low,1-2 weeks after 2nd dose,Yes
Somewhat severe,"10,001 to 25,000","No, they do not contain live coronavirus",Strong Democrat,Female,35-44,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$50,000 to under",MI,Metro Area,"10,001 to 20,000",high,1-2 weeks after 2nd dose,Yes
Somewhat severe,"More than 50,000",Don't know/Unsure,Strong Republican,Female,55-64,"White, non-Hispanic",HS graduate,Not working - retired,"$40,000 to under",IN,Non-Metro Area,"10,001 to 20,000",high,Don't know/Unsure,No
Somewhat severe,"1,001 to 10,000","No, they do not contain live coronavirus",Strong Democrat,Female,65-74,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$40,000 to under",NJ,Metro Area,"20,001 to 30,000",moderate,1-2 weeks after 2nd dose,Yes
Not at all severe,"25,001 to 50,000","No, they do not contain live coronavirus",Strong Democrat,Female,55-64,"White, non-Hispanic",Post grad study/professional degree,Working - as a paid employee,"$75,000 to under",IN,Metro Area,"10,001 to 20,000",high,1-2 weeks after 2nd dose,Yes
Not very severe,"1,001 to 10,000","No, they do not contain live coronavirus",Lean Republican,Male,35-44,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$75,000 to under",NV,Metro Area,"1 to 10,000",high,1-2 weeks after 2nd dose,Yes
Not at all severe,"10,001 to 25,000",Don't know/Unsure,Not So Strong Republican,Female,25-34,"Asian, non-Hispanic",Post grad study/professional degree,Working - self-employed,"$100,000 to unde",TX,Metro Area,"40,001 to 50,000",very high,Immediately after 2nd dose,No
Somewhat severe,"10,001 to 25,000",Don't know/Unsure,Not So Strong Republican,Male,25-34,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$50,000 to under",MO,Non-Metro Area,"1 to 10,000",high,1-2 weeks after 1st dose,No
Somewhat severe,"1,001 to 10,000","No, they do not contain live coronavirus",Not So Strong Democrat,Male,25-34,"Asian, non-Hispanic",Bachelors degree,Working - as a paid employee,"$50,000 to under",CA,Metro Area,"More than 50,000",very high,Don't know/Unsure,No
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Lean Democrat,Male,65-74,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$100,000 to unde",IN,Metro Area,"10,001 to 20,000",high,1-2 weeks after 2nd dose,Yes
Not very severe,"10,001 to 25,000","No, they do not contain live coronavirus",Lean Republican,Male,65-74,"White, non-Hispanic",Bachelors degree,Not working - retired,"$75,000 to under",NC,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 2nd dose,Yes
Not very severe,"1,001 to 10,000",Don't know/Unsure,Not So Strong Democrat,Female,55-64,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - looking for work,"$100,000 to unde",IL,Metro Area,"20,001 to 30,000",high,1-2 weeks after 2nd dose,Yes
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Not So Strong Democrat,Female,55-64,"Asian, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$50,000 to under",CA,Metro Area,"More than 50,000",very high,1-2 weeks after 2nd dose,Yes
Somewhat severe,"25,001 to 50,000",Don't know/Unsure,Not So Strong Republican,Male,65-74,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$75,000 to under",IN,Non-Metro Area,"10,001 to 20,000",high,Don't know/Unsure,Yes
Somewhat severe,"25,001 to 50,000","No, they do not contain live coronavirus",Strong Republican,Female,35-44,"White, non-Hispanic",Bachelors degree,Not working - retired,"Under $10,000",WY,Non-Metro Area,"1 to 10,000",very low,1-2 weeks after 2nd dose,No
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Not So Strong Republican,Female,45-54,"White, non-Hispanic",Post grad study/professional degree,Working - as a paid employee,"$75,000 to under",NY,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 2nd dose,Yes
Not at all severe,"More than 50,000","No, they do not contain live coronavirus",Don't Lean/Independent/None,Male,65-74,"White, non-Hispanic",Bachelors degree,Not working - retired,"$75,000 to under",WA,Metro Area,"1 to 10,000",moderate,1-2 weeks after 2nd dose,Yes
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Don't Lean/Independent/None,Female,25-34,"White, non-Hispanic",Post grad study/professional degree,Working - as a paid employee,"$75,000 to under",MO,Non-Metro Area,"1 to 10,000",high,1-2 weeks after 2nd dose,Yes
Somewhat severe,"More than 50,000","No, they do not contain live coronavirus",Don't Lean/Independent/None,Female,25-34,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - looking for work,"Under $10,000",WA,Non-Metro Area,"1 to 10,000",moderate,Don't know/Unsure,No
Not very severe,"10,001 to 25,000","No, they do not contain live coronavirus",Not So Strong Republican,Male,45-54,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$50,000 to under",NY,Non-Metro Area,"10,001 to 20,000",very high,Immediately after 1st dose,Yes
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Strong Republican,Female,75+,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$20,000 to under",VA,Metro Area,"1 to 10,000",moderate,1-2 weeks after 2nd dose,Yes
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Not So Strong Democrat,Female,25-34,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$100,000 to unde",TN,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 2nd dose,Yes
Somewhat severe,"10,001 to 25,000","No, they do not contain live coronavirus",Lean Republican,Male,55-64,"White, non-Hispanic",Post grad study/professional degree,Working - as a paid employee,"$50,000 to under",TX,Metro Area,"40,001 to 50,000",very high,1-2 weeks after 2nd dose,Yes
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Lean Democrat,Male,45-54,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$75,000 to under",GA,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 2nd dose,Yes
Not at all severe,"10,001 to 25,000","Yes, they contain live coronavirus",Strong Democrat,Male,35-44,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"Under $10,000",IA,Non-Metro Area,"1 to 10,000",moderate,Immediately after 2nd dose,Yes
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Not So Strong Democrat,Female,75+,"White, non-Hispanic",Bachelors degree,Not working - retired,"$20,000 to under",OH,Metro Area,"10,001 to 20,000",high,1-2 weeks after 1st dose,Yes
Not very severe,"10,001 to 25,000","No, they do not contain live coronavirus",Not So Strong Republican,Male,65-74,"White, non-Hispanic",Post grad study/professional degree,Not working - retired,"$75,000 to under",IL,Metro Area,"20,001 to 30,000",high,1-2 weeks after 2nd dose,Yes
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Strong Democrat,Male,65-74,"White, non-Hispanic",Post grad study/professional degree,Not working - retired,"$150,000 or more",CA,Metro Area,"More than 50,000",very high,1-2 weeks after 2nd dose,Yes
There are no side effects,"1 to 1,000","No, they do not contain live coronavirus",Not So Strong Republican,Female,65-74,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$40,000 to under",UT,Metro Area,"1 to 10,000",low,1-2 weeks after 2nd dose,Yes
Somewhat severe,"1,001 to 10,000","No, they do not contain live coronavirus",Not So Strong Republican,Male,35-44,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - as a paid employee,"$75,000 to under",WI,Non-Metro Area,"1 to 10,000",moderate,1-2 weeks after 2nd dose,No
Somewhat severe,"10,001 to 25,000","No, they do not contain live coronavirus",Not So Strong Democrat,Female,65-74,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$30,000 to under",KY,Non-Metro Area,"1 to 10,000",high,1-2 weeks after 2nd dose,Yes
Somewhat severe,"1,001 to 10,000","No, they do not contain live coronavirus",Lean Democrat,Female,75+,"White, non-Hispanic",Bachelors degree,Not working - retired,"$100,000 to unde",DE,Metro Area,"1 to 10,000",low,1-2 weeks after 1st dose,Yes
Not very severe,"10,001 to 25,000","No, they do not contain live coronavirus",Not So Strong Republican,Female,45-54,"White, non-Hispanic",HS graduate,Not working - retired,"$100,000 to unde",AR,Non-Metro Area,"1 to 10,000",high,1-2 weeks after 1st dose,Yes
Severe,"1 to 1,000","Yes, they contain live coronavirus",Don't Lean/Independent/None,Male,55-64,"Asian, non-Hispanic",Vocational/tech school/some college/associates,Working - self-employed,"$50,000 to under",GA,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 1st dose,No
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Strong Democrat,Female,55-64,"White, non-Hispanic",Post grad study/professional degree,Working - self-employed,"$50,000 to under",NY,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 2nd dose,Yes
Not very severe,"10,001 to 25,000",Don't know/Unsure,Not So Strong Republican,Male,45-54,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$75,000 to under",IL,Metro Area,"20,001 to 30,000",high,Immediately after 1st dose,Yes
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Strong Democrat,Male,65-74,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$75,000 to under",PA,Metro Area,"20,001 to 30,000",moderate,1-2 weeks after 2nd dose,Yes
Somewhat severe,"More than 50,000","No, they do not contain live coronavirus",Strong Republican,Female,75+,"White, non-Hispanic",Bachelors degree,Not working - retired,"$75,000 to under",IN,Non-Metro Area,"10,001 to 20,000",high,1-2 weeks after 2nd dose,Yes
Not very severe,"1 to 1,000","Yes, they contain live coronavirus",Not So Strong Republican,Male,75+,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$100,000 to unde",MD,Metro Area,"1 to 10,000",low,Immediately after 2nd dose,Yes
Not at all severe,"1,001 to 10,000",Don't know/Unsure,Lean Democrat,Male,65-74,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$50,000 to under",OK,Non-Metro Area,"1 to 10,000",very high,1-2 weeks after 2nd dose,Yes
Not at all severe,"10,001 to 25,000",Don't know/Unsure,Strong Democrat,Male,65-74,"White, non-Hispanic",Vocational/tech school/some college/associates,Working - self-employed,"$30,000 to under",PA,Non-Metro Area,"20,001 to 30,000",moderate,Don't know/Unsure,No
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Lean Republican,Male,75+,"White, non-Hispanic",Bachelors degree,Not working - retired,"$75,000 to under",IL,Metro Area,"20,001 to 30,000",high,1-2 weeks after 2nd dose,Yes
Not at all severe,"More than 50,000","No, they do not contain live coronavirus",Not So Strong Republican,Male,55-64,"White, non-Hispanic",Post grad study/professional degree,Working - as a paid employee,"$150,000 or more",TX,Metro Area,"40,001 to 50,000",very high,1-2 weeks after 2nd dose,Yes
Not at all severe,"1,001 to 10,000","No, they do not contain live coronavirus",Not So Strong Republican,Male,55-64,"White, non-Hispanic",Post grad study/professional degree,Not working - retired,"$75,000 to under",WI,Non-Metro Area,"1 to 10,000",moderate,1-2 weeks after 2nd dose,No
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Strong Democrat,Female,65-74,"White, non-Hispanic",Post grad study/professional degree,Not working - retired,"$75,000 to under",WI,Non-Metro Area,"1 to 10,000",moderate,1-2 weeks after 2nd dose,Yes
